ISO,gdppercapita1,gdppercapita1000,gdppercapita1500,gdppercapita1700,gdppercapita1820,gdppercapita1870,gdppercapita1913,gdppercapita1950,gdppercapita1960,gdppercapita1970,gdppercapita1980,gdppercapita1990,gdppercapita2000,gdppercapita2008
HND,,,,,,,,1313,1398,1556,2062,1857,1912,2323
HKG,,,,,615,683,1279,2218,3134,5695,10503,17541,23328,31704
GTM,,,,,,,,2085,2193,2919,4005,3240,3927,4461
GRC,550,400,433,530,641,880,1592,1915,3146,6211,8971,10015,12111,16362
GNQ,,,,,,,,540,746,1309,1477,1552,7677,22049
GNB,,,,,,,,289,501,872,754,797,680,617
GMB,,,,,,,,607,722,879,1039,878,895,1043
GIN,,,,,,,,303,392,465,558,540,591,628
GHA,,,,,,439,781,1122,1378,1424,1157,1062,1265,1650
GEO,,,,,,,,,,,,7616,3244,5984
GBR,400,400,714,1250,1706,3190,4921,6939,8645,10767,12931,16430,20353,23742
GAB,,,,,,,,3108,4184,5869,6777,4797,3844,3811
FRA,473,425,727,910,1135,1876,3485,5186,7398,11410,14766,17647,20422,22223
FIN,400,400,453,638,781,1140,2111,4253,6230,9577,12949,16866,19770,24344
EST,,,,,,,,,,,,10820,11710,19951
ESP,498,450,661,853,1008,1207,2056,2189,3072,6319,9203,12055,15622,19706
EGY,600,500,475,475,475,649,902,910,991,1254,2069,2523,2936,3725
ECU,,,,,,,,1863,2289,2845,4129,3903,3219,3987
DZA,450,,,,430,715,1163,1365,2088,2249,3152,2947,2863,3520
DOM,,,,,,,,1027,1302,1561,2372,2471,3639,4464
DNK,400,400,738,1039,1274,2003,3912,6943,8812,12686,15227,18452,22975,24621
DJI,,,,,,,,1500,1771,2069,1661,1448,1103,1254
DEU,408,410,688,910,1077,1839,3648,3881,7705,10839,14114,15929,18944,20801
CZE,,,,,,,,,,,,8895,9156,12868
CUB,,,,,,,,2046,2052,1917,2644,2957,2422,3764
CRI,,,,,,,,1963,2715,3754,4911,4747,6174,8032
CPV,,,,,,,,450,508,619,841,1233,1776,2735
COL,,,,,,,1236,2153,2497,3094,4257,4826,5079,6330
COG,,,,,,,,1198,1416,1696,2324,2380,2004,2159
COD,,,,,,,,570,748,768,598,510,218,249
CMR,,,,,,,,671,832,982,1192,1211,1075,1212
CIV,,,,,,,,1041,1256,1808,2041,1307,1246,1095
CHN,450,466,600,600,600,530,552,448,662,778,1061,1871,3421,6725
CHL,,,,,694,1290,2988,3670,4270,5231,5680,6401,10309,13185
CHE,425,410,632,890,1090,2102,4266,9064,12457,16904,18779,21487,22475,25104
CAN,400,400,400,430,904,1695,4447,7291,8753,12050,16176,18872,22488,25267
CAF,,,,,,,,772,925,891,737,642,575,536
BWA,,,,,,,,349,403,647,1765,3304,4084,4769
BRA,,,400,459,646,713,811,1672,2335,3057,5195,4920,5532,6429
BOL,,,,,,,,1919,1606,2176,2572,2197,2561,2959
BLR,,,,,,,,,,,,7194,6472,12607
BIH,,,,,,,,,,,,3737,5572,7274
BHR,,,,,,,,2104,2843,3788,4388,4104,5059,7348
BGR,,,,,,840,1534,1651,2912,4773,6044,5597,5350,8886
BGD,,,,,,,,540,545,630,549,631,822,1146
BFA,,,,,,,,474,609,745,731,807,899,1063
BEN,,,,,,,,1084,978,1027,1128,1136,1285,1394
BEL,450,425,875,1144,1319,2692,4220,5462,6952,10611,14467,17197,20656,23655
BDI,,,,,,,,360,444,540,603,705,496,479
AZE,,,,,,,,,,,,4639,2518,8097
AUT,425,425,707,993,1218,1863,3465,3706,6519,9747,13759,16895,20691,24131
AUS,400,400,400,400,518,3273,5157,7412,8791,12024,14412,17173,21732,25301
ARM,,,,,,,,,,,,6066,4565,11630
ARG,,,,,,1311,3797,4987,5559,7302,8206,6433,8581,10995
ARE,,,,,,,,15798,22433,24552,27709,13961,12929,15589
ALB,,,,,,446,811,1001,1451,2004,2347,2499,2741,4149
AGO,,,,,,,,1052,1253,1768,961,868,770,1684
AFG,,,,,,,,645,739,709,690,604,565,869
